time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010487349642	95.267	19.6394	2.22431	-0.120089	0.178195	lidar	0.579162	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	95.0968	19.6271	1.13591	-0.357178	0.0197266	radar	1.57273	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	95.5179	19.6774	0.222435	-0.043529	0.182472	lidar	0.336305	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	95.548	19.6723	0.742668	-0.0338316	0.189677	radar	0.25554	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	96.2583	19.23	0.748216	-0.564281	-0.226547	lidar	0.0523376	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	96.3079	19.2433	1.01185	-0.539613	-0.203571	radar	0.0361145	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	97.4971	18.7118	1.55772	-0.301817	0.0461475	lidar	0.146083	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	97.4691	18.7104	1.14056	-0.370001	-0.00268282	radar	0.171552	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	98.2163	18.3709	0.860454	-0.338783	0.0146998	lidar	0.0299693	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	98.2456	18.3753	0.883315	-0.322881	0.0236789	radar	0.00335794	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	99.0524	17.4245	1.24416	-1.12883	-0.460664	lidar	0.167088	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
1477010492349642	99.0649	17.4846	1.65838	-0.87949	-0.212777	radar	0.101998	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	99.9773	16.9652	0.87509	-0.624584	0.0713192	lidar	0.664286	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
1477010493349642	100.068	16.9755	1.08117	-0.548594	0.123762	radar	0.0503037	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	101.188	16.5237	1.38006	-0.225349	0.249892	lidar	0.0406158	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	101.17	16.5241	1.06284	-0.245556	0.22918	radar	0.0896401	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	102.376	16.3919	1.4447	0.0785971	0.285549	lidar	0.0510482	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
1477010495349642	102.294	16.3807	1.04712	0.0568829	0.270248	radar	0.182317	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	103.003	15.4432	0.319595	-0.891699	-0.437708	lidar	0.474322	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	102.987	15.4683	1.4462	-0.841253	-0.370027	radar	0.219001	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
1477010497349642	104.087	15.2396	0.721205	-0.433869	0.0840014	lidar	0.65978	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
1477010497349642	104.058	15.212	1.29234	-0.430734	0.084328	radar	0.201917	103.905	14.7607	104.244	15.0064	1.19469	-0.498349
1477010498349642	105.528	14.4544	2.00857	-0.468064	0.0115332	lidar	0.165826	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
1477010498349642	105.462	14.4416	1.62639	-0.534665	-0.0493035	radar	0.14629	105.316	14.0026	105.447	14.5293	1.28111	-0.481861
1477010499349642	106.819	14.0296	1.47511	-0.198489	0.187671	lidar	0.141762	106.831	14.0482	106.737	14.0724	1.37529	-0.457255
1477010499349642	106.755	14.0208	1.49412	-0.229213	0.168507	radar	0.0134746	106.439	14.2401	106.737	14.0724	1.37529	-0.457255
